book,chapter_num,afinn_mean
Shatter Me,11,-0.9210526315789473
Shatter Me,12,-1.25
Shatter Me,13,-0.7875
Shatter Me,14,-1.6422018348623852
Shatter Me,16,-0.034482758620689655
Shatter Me,17,-1.0689655172413792
Shatter Me,18,-0.1
Shatter Me,19,-0.8545454545454545
Shatter Me,20,-1.0909090909090908
Shatter Me,21,-0.5714285714285714
Shatter Me,22,-0.14754098360655737
Shatter Me,23,-0.547371380376722
The Mortal Instruments 01 - Cit,0,-0.6166534181240063
The Mortal Instruments 01 - Cit,1,0.03587443946188341
The Mortal Instruments 02 - Cit,0,-0.712752254186346
The Mortal Instruments 02 - Cit,1,-0.21722846441947566
The Mortal Instruments 03 - Cit,0,-0.6184046899982235
The Mortal Instruments 03 - Cit,1,0.09554140127388536
The Mortal Instruments 04 - Cit,0,-0.5217300020995171
The Mortal Instruments 05 - Cit,0,-1.162162162162162
The Mortal Instruments 05 - Cit,1,-3
The Mortal Instruments 05 - Cit,4,-3
The Mortal Instruments 05 - Cit,9,-2
The Mortal Instruments 05 - Cit,13,2
The Mortal Instruments 05 - Cit,20,3
The Mortal Instruments 05 - Cit,22,-4
The Mortal Instruments 05 - Cit,24,-0.37715269804822044
The Mortal Instruments 05 - Cit,25,-0.5073068893528184
The Mortal Instruments 06 - Cit,0,-0.523238747553816
The Mortal Instruments 06 - Cit,1,0.3378640776699029
The Mortal Instruments 06 - Cit,6,-2
The Mortal Instruments 06 - Cit,8,-2
The Mortal Instruments 06 - Cit,9,2
The Mortal Instruments 06 - Cit,11,0
The Mortal Instruments 06 - Cit,12,-3
The Mortal Instruments 06 - Cit,22,-3
The Mortal Instruments 06 - Cit,24,2
The Mortal Instruments 06 - Cit,25,2
Unravel Me,74,-0.6785714285714286
Unravel Me,75,-0.67
Unravel Me,76,-0.3275862068965517
Unravel Me,77,-0.096
Unravel Me,78,-0.12149532710280374
Unravel Me,79,-1.1839080459770115
Unravel Me,80,-0.8429752066115702
Unravel Me,81,-1.7272727272727273
Unravel Me,82,-0.35
Unravel Me,83,-0.6952789699570815
Unravel Me,86,-0.6349878934624698
Unravel Me,87,2
Unravel Me,88,-2
Unravel Me,90,0
Unravel Me,95,-0.7931873479318735
Unravel Me,96,-0.7043847241867044
Unravel Me,98,-0.4005681818181818
Unravel Me,100,-0.621822033898305
Unravel Me,101,0.3333333333333333
